e2e/audio-drift/_capture.ts :: recordAudio :: waitForTimeout(100) #1	STATE	-	Polls the page-side __audioDriftDone flag each cycle before sleeping; convert to page.waitForFunction/expect.poll on that sentinel instead of a blind interval.
e2e/audio-drift/audio-drift.spec.ts :: @audio-drift 08-multi-user-edit :: waitForTimeout(500) #1	STATE	-	Blind warmup before recording cross-peer audio; no product interval found, so poll for the first non-silent sample via recordAudio own analyser instead.
e2e/audio-drift/audio-drift.spec.ts :: runScenarioOnce :: waitForTimeout(opts.warmupMs) #1	STATE	-	Same warmup-before-record pattern, parameterized per scenario; convert to a readiness poll on the audio graph rather than a caller-supplied ms.
e2e/chaos/lib/driver.ts :: applyIntent :: waitForTimeout(intent.ms) #1	PACING	-	Executes the chaos fuzzer own randomized kind=sleep intent (a deliberate wall-clock idle action), not a readiness gate; no single product constant found, so treat as a documented test-fixture exception -- flagged uncertain.
e2e/chaos/runner.spec.ts :: chaos run :: waitForTimeout(30) #1	STATE	-	Comment: tiny settle so the reconciler can apply before reading engine state; convert to polling the reconciler applied-intent flag or a __patch snapshot.
e2e/tests/_helpers.ts :: openModulePalette :: waitForTimeout(200) #1	PAINT	-	Comment says d3-zoom transform settle -- a CSS-driven repaint after mouse.wheel(); use waitFrames(page, n) instead of a fixed ms.
e2e/tests/_module-coverage-helpers.ts :: runFor :: waitForTimeout(ms) #1	PACING	-	Thin pass-through wrapper explicitly documented (its own docstring) as the sanctioned site for genuine wall-clock waits (analyser refill, spawn generators) as opposed to rendered-output waits; kept generic by design -- flagged uncertain since it names no single interval itself.
e2e/tests/adsr-vca-invert.spec.ts :: ADSR: env_inv produces non-zero CV signal that is the unipolar inverse of env :: waitForTimeout(1500) #1	STATE	-	Waits for the ADSR envelope plus VCA chain to reach audible steady-state before reading scope stats; no fixed product constant matches 1500ms (default attack 5ms / decay 100ms) -- poll readScopeBothChannels for peak above threshold instead.
e2e/tests/adsr-vca-invert.spec.ts :: VCA: audio_inv carries the same envelope-shaped signal as audio, with inverted polarity :: waitForTimeout(1500) #1	STATE	-	Same envelope-settle-then-read pattern as the env_inv case; convert to a scope-peak poll.
e2e/tests/ai-debug.spec.ts :: AI debug snapshot — voice-demo flow :: waitForTimeout(3000) #1	STATE	-	Broad wait for any work to finish before a diagnostic DOM snapshot; no single observable named -- convert to polling for network/engine idle rather than a blind 3s sleep.
