path	sha256	category	external_citers	status	durable_destination	record_disposition	consumed_by	shipped_evidence	open_owner_decisions	rationale
.myrobots/2026-08-03-BLIND-GATES-FOUND.md	3517b644dbf8adb4c3b5872d04255242123d2fd80b4c247862ee4f408e4781f2	session-narrative	0	stale	skill:renderer-tests	evidence-archive	n/a	All three rows the record calls 'STILL OPEN' are closed: #1337 -> PR #1656 (merged 2026-08-15; e2e/tests/per-module-per-port-behavioral.spec.ts:41-51 'A FLOOR IS NOT ONE NUMBER (#1337)' — each row measures its own null scatter); #1331 -> PR #1644 (merged 2026-08-15; scripts/attest-preflight.ts is the single shared preflightSolo with windowed sampling + SUSTAINED_FRACTION, scripts/attest-preflight.test.ts asserts grand/webgl import it and define none); #1326 closed COMPLETED by the owner 2026-08-13 with no PR — Taskfile.yml dsp:build `status:` is byte-identical to the 2026-08-03 commit 1be8937e (still only .dsp-srchash input checks, no output-stem check). §2: wavesculpt face SHIPPED (strict-faces.ts:4226; the '#1476 reverted' claim is stale) and wavesculpt.test.ts:224-237 still asserts >=3 of 4 walls with BLUE gain 0, which wavesculpt.ts:190 documents as intended layout ('+Z wall, behind camera at rot=0'); clouds.test.ts:125-139 is still 0-vs-1 but clouds-face-model.test.ts:330-363 now carries the DENSITY saturation/monotonicity oracle; the spectrograph per-module baseline is gone — only e2e/vrt/__screenshots__/workflow-shell-faces.spec.ts/face-spectrograph-{compact,dock}.png exist under __spectrographVrtFreeze, plus spectrograph-draw.test.ts. The record's claim that its generalised lessons live in CLAUDE.md and `.claude/skills/blind-gates` is stale: CLAUDE.md is now `@AGENTS.md` + brief-replies and no blind-gates skill exists on origin/main (#2222); the invariant survives as AGENTS.md boundary 4 ('Ask what every gate is structurally unable to see. Negative-control the instrument as well as the code.').	#1326 was closed COMPLETED (2026-08-13) but the tree still has the described gap: Taskfile.yml dsp:build/dsp:ensure status guard validates only .dsp-srchash and never checks that dist outputs exist, so a partial dist still reports 'current' (local-DX only; CI's dsp-build job always compiles from scratch). Owner to confirm the closure stands as won't-fix, or allow an output-stem existence check to ride a coherent PR.	The generic blind-gate invariant is already AGENTS.md boundary 4, so what remains extractable is the narrower testing mechanics in §2/§3 — a test that pins the defect as expected, and 'unsound not flaky' (control-vs-control scatter must sit below the floor; a separation never satisfiable across the file's own measured range; ceilings sat at) — which belong in renderer-tests/references/silent-failures.md as pointers with the fact inlined. The raw record is the measured proof artifact behind #1644/#1656 (45 ps samples, 46% mono-normal figure, 27/2561 at >=70% budget, resofilter 1.7x->10.6x) and is kept as archive evidence, not instruction.
.myrobots/2026-08-03-MODULE-AUDIT-INVENTORY.md	7b91002d23b55cc213bb6a38430cfd89d69f5ecdfd50aab80186a5ebe62b4e6e	session-narrative	0	stale	skill:audio-runtime	evidence-archive	n/a	All 18 audited modules are in STRICT_FACES on origin/main (packages/web/src/lib/ui/workflow/strict-faces.ts: rings, wavesculpt, treeohvox, clouds, marbles, timelorde, cofefve, charlottesEchos, wavecel, foxy, resofilter, synesthesia, stereovca, wavetableVco, swolevco, destroy, featurecv, spectrograph) — so 'ZERO faceplates promoted', 'pipeline PAUSED', '21/32 faces' and the two NO_FACE_ON_MERIT verdicts (stereovca, spectrograph) are superseded: spectrograph promoted #2145 (8b77fe1b40), destroy #1716 (3f5869706f), wavesculpt #2181 (f2a1349c5a), wavetable-vco #1682 (842e16ddea), marbles #1467, clouds #1451, resofilter #1470. Both skill pointers (.claude/skills/module-adversarial-audit.md, module-faceplates.md) are gone — only brief-replies/deploy/module-surfaces/renderer-tests exist. The record's 2026-08-12 'still open' spot-checks are now fixed: swolevco CV shadows drive the audio (#1661, 634d1f2199; swolevco.ts:466-507 shadows pinned at 1.0), destroy DECIMATE rounds instead of truncating (#1716; packages/dsp/src/destroy.dsp:22-29 `ba.period(int(d + 0.5))`), foxy 97%-DC row fixed by #2170 (523d79d03e 'the XYZ wavetable carried the field's RULER, not its data'), featurecv setSmoothing rebuilds only on a real change (featurecv-dsp.ts:306-312) and featurecv.ts declares ONE mono input, wavesculpt CRT block dropped (#1449; zero `crt_` params), hypercube deleted (absent from tree), stereo-autowire.ts no longer claims 'engine normals R←L' (dual-mono double-patch, #1343 ca3627d771), legacy card UI removed (#2349) so every 'card'/'Push 2 generic card' reference is stale. The #1343-#1368 and #1422-#1484 fix PRs it cites are all merged on origin/main. STILL OPEN in the tree (verified): marbles CLUSTERS stub (marbles-engine.ts:800-803 falls through to generateComplementaryBernoulli); spectrograph nearest-bin row sampling (spectrograph-draw.ts:119-140 `Math.round(hz / hzPerBin)`); wavesculpt.test.ts:224-235 still asserts '≥3 of 4 walls' with BLUE behind the default eye while wavesculpt.ts:47-49 still says 'audio is rotation-invariant'; wavetable-vco wavePos still unsmoothed a-rate with knob+CV clamped to [0,1] (packages/dsp/src/wavetable-vco.ts:157-159), cvScale omission now declared PASSTHROUGH_BY_DESIGN; synesthesia CV_MAKEUP still [1.6,1.6,1.6,1.5] (synesthesia-dsp.ts:70).	Whether the five rows still measurable in the tree (marbles CLUSTERS stub, spectrograph 85% of FFT bins unreachable by any pixel, wavesculpt BLUE-wall/rotation prose contradicted by its own test, wavetable-vco wavePos dead negative half + unsmoothed a-rate, synesthesia DPT railed at default) are fixed in one sweep or accepted as designed; and whether the audit method (its skill was deleted) is ever re-run on the 102 modules this ledger says were never audited.	A measurement ledger whose framing (no faces, paused pipeline, deleted skill pointers, legacy cards) and most 'still open' rows are superseded by the tree, but whose measured numbers and five still-present defects are unique proof — archive it. Its reusable lesson (factory-vs-DSP blindness: silent ConstantSource pinned over the DSP normal, 'discrete' channelInterpretation zero-fill, and tests built around the defect; audits that never drove the real UI) is absent from every skill/AGENTS/ADR on main and belongs in audio-runtime.
.myrobots/2026-08-03-SESSION-STATE.md	8ebf4a52c5a1dd45e54ee425b563fa72e1316db48d20eeb8c583670d530a466b	session-narrative	0	stale	skill:renderer-tests	evidence-archive	n/a	Owner decision 4 (samsloop: do not promote until a shell cell exists) superseded: 'samsloop' is in STRICT_FACES (packages/web/src/lib/ui/workflow/strict-faces.ts:2614; file-import cell fixed by #2010, REC press witnessed via engine-message audition). samsloop detach fix shipped: postSampleBuffer (packages/web/src/lib/audio/modules/samsloop.ts:1132) + samsloop-post-buffer.test.ts (#1353 merged 2026-08-04). 'Attest pre-flight samples ps ONCE (#1331)' fixed: scripts/attest-preflight.ts samples over irregular SAMPLE_OFFSETS_MS and prints a GPU-SOLO refusal (#1331 CLOSED 2026-08-15). 'task e2e:serve binds 5173 by default' false: Taskfile.yml:1214 defaults to a per-worktree derived port (scripts/e2e-port.sh, #1597). webgl-attest timeout-minutes is 10, not 5 (.github/workflows/ci.yml:1932). worktree:guard liveness now pid-based ('LIVENESS BEATS TIDINESS' #1571, scripts/worktree-guard.sh:27-41). Legacy cards gone (AGENTS.md:23 ModuleShell ONLY): WavecelCard.svelte/ClockedRunnerCard.svelte absent, the '~190 hardcoded defaultLabel' defect is moot (2 remaining hits: CvBuddyBody.svelte, MoogPanel.svelte). The samsloop 'still open' inverted-drag row is superseded by a shipped resolution contract (samsloop.ts:1350 END resolved first, START clamped to END; samsloopWindowToFraction orders the pair, samsloop.test.ts:1209; clampWindow end>=start+1). Still current: facePageHeader(def, annotations=false) returns null (dock-faceplate-model, mirrored in cube.ts:402/macrooscillator.ts:1007); #1334 MASSPASS merged; #1351/#1358/#1360 merged.	none	A self-pruned session narrative whose remaining operational facts (5173 default, ps-once pre-flight, 5-min attest budget, guard blindness, card label sources, samsloop unpromotable) are each contradicted by the current tree, so it is stale and code wins; the raw file is a unique historical retraction/investigation record (the 16-burner contamination that faked three agents' corroboration, the E2E_PORT retraction, the seven disproven hypotheses) so it archives rather than being removed. Its one reusable lesson not already in AGENTS.md or the skills is the attest precondition ('name the resource you claim is free; enumerate browser contenders rather than reading a load scalar; confirm the sentinel reaches a pixel before trusting a passing VRT'), which routes to renderer-tests; DOOM is untouched.
.myrobots/2026-08-07-WORK-ORDER.md	f83afd0704d2a4c6e07452b2f7b272422f73f649660f71b7a72ce4ce5bbea294	session-narrative	0	stale	none	evidence-archive	n/a	Phase 1: mono-normal-not-defeated.test.ts on origin/main (packages/web/src/lib/audio/), #1343 fixes referenced by #1393/#1408. Phase 2 core: #1404 (bd52ddeed5), #1407 (b843e49f33), #1408 (621899a725), #1491 (145cd6e2aa) in origin/main log. Phase 4 'PAUSED, 32 faces' is superseded: packages/web/src/lib/ui/workflow/strict-faces.ts holds 194 STRICT_FACES members and #2349 (622d121675) retired the legacy card UI, so '?shell=1' no longer exists (AGENTS.md Product state on origin/main). Phase 3 premise ('no theme module anywhere under packages/web/src') was false when written: #1159 (e6b3814dda, 2026-07-22) landed design tokens + a color-only theme system under packages/web/src/lib/ui/skins/palettes/ (slate.ts: 'Still a dark structure, not a light mode'). Single-baseline VRT claim still holds (AGENTS.md boundary #3).	Whether Light Mode (former phase 3) remains on the queue at all now that the shell flag is gone and a token/palette layer already exists — no plan doc, PR, or light palette exists on origin/main. Stereo PR-5 (declared-pairs parity: no `stereoPairs` on VideoModuleDef) and PR-6 (mixmstrs per-channel pan: no pan params in mixmstrs.ts or mixmstrs.dsp) are still unshipped, but those decisions belong to .myrobots/stereo-audio-plan/plan.md, not this record.	An owner-set four-phase work order whose phases 1, 2-core, and 4 are overtaken by the tree and whose one 'live' phase rests on a false premise (the token layer it says is missing shipped two weeks earlier); the misread lesson is a documentation-hygiene note, not a repo invariant, and already lives in the work-queue memory, so nothing routes to a skill or AGENTS.md. Kept as archived evidence of the owner's 2026-08-07 ordering and the documented misread rather than removed, since it is an owner directive record with a named lesson.
.myrobots/2026-08-08-buffer_exporation.md	20dfea13ac367b35d6fc82ad0027e3215a9748e5cd9b8acb5561ef3d5fad7bc9	session-narrative	0	stale	adr	evidence-archive	n/a	Ideas 1-3 shipped as PR #1425 (merged 2026-08-09, merge commit 5b83aaf4b4): packages/web/src/lib/audio/playback-stats.ts (AudioContext.playbackStats underrun counter; header :13-25 records the wrong-API-name correction and refutes the currentTime-drift detector), worklet-guard.ts (createWorkletNode processorerror seam, 61 module call sites, deny-by-default source gate), audio-out-failover.ts (master limiter runtime fail-over to ceilingClipCurve), tick-latency.ts + audio-health.svelte.ts (four-mode A/B/C/D taxonomy at :3-13 and the footer readout); later extended by continuity-probe.ts (#2355). Idea 6 kill is carried by packages/web/src/lib/ui/audio-latency-store.svelte.ts:18-28; the headless null-sink 'underruns cannot be asserted in Playwright' lesson is in playback-stats.test.ts:9,229 and e2e/tests/main-thread-cost.spec.ts:64,265. Idea 7 partly #1422 (merged 2026-08-09); samsloopRecAppend at packages/web/src/lib/audio/modules/samsloop.ts:872-887 STILL grows by copy. Stale vs tree: the rAF census (239 sites/73 card files), KriaCard.svelte, SamsloopCard.svelte and every Canvas.svelte line cite the legacy card UI, deleted in #2349 (merged 2026-09-06, 196 cards); FABLE_PERF_PLAN is its only remaining citer. Unbuilt on origin/main (verified by grep): Idea 4 degradation policy, Idea 5 patch-aware boot (DEFAULT_AUDIO_LATENCY_MODE still 'tight'), Idea 8 Faust destroy()/worklet termination (0 call sites), Idea 10 video fps cap/document.hidden gate (only the e2e-only __videoEnginePause), audioCtx.close() (0 hits), PerformanceObserver (0 hits outside a comment). docs/, runbooks/ and .claude/skills carry zero mentions of underrun/playbackStats/processorerror.	Whether to build the three unbuilt look/behaviour-changing ideas the record itself flags for owner sign-off: Idea 4 (user-chosen audio-first degradation policy — halving the video step also halves pong/modtris/DOOM logic rate, so any governor touches DOOM and needs explicit approval), Idea 5 (patch-aware boot buffer default, FABLE_PERF_PLAN A2 'buffer-default change = flag for owner'), and Idea 10 (video fps cap + document.hidden gate + accumulator clamp, a look change). Also still unmeasured: whether orphaned worklet processors accumulate render-thread cost (P0-3, verifier declined to rule) — a decision on whether to run the now-cheap soak.	An owner-commissioned research + adversarial-review investigation whose top three ideas shipped one day later as #1425 and whose remaining lessons all live in source headers/tests, but no ADR records the shipped audio-health decision and its why (instrument-first; playbackStats over the structurally-blind currentTime drift detector; shared processorerror seam; terminal-sink runtime failover; never live-rebuild the AudioContext) — that is the one durable extraction, routed to adr because the owner-approved audio-runtime skill is scoped to exactly four other topics. The raw record is a dated measurement/proof artifact (samsloop O(n²) numbers, prior-art decomposition, self-review) worth archiving, and it is stale because its rAF/card census and file:line anchors describe the legacy card UI removed in #2349.
.myrobots/2026-08-09-edge-cleanup-table.md	f9ae52d26795ee830ba4a2a02cb9d735769d3743ca530ad1e3a5fc15e8cf7b74	session-narrative	1	stale	skill:audio-runtime	evidence-active	n/a	PR #1442 (f9aa0bde53, 2026-08-10) deleted packages/web/src/lib/docs/undeclared-edge-ledger.ts (absent from origin/main) and declared every edge; packages/web/src/lib/docs/contract-lock.txt carries 338 `edge=` tokens on origin/main (record says 380 — drift); drummergirl.ts:47 `{ id: 'gate', type: 'gate', edge: 'gate' }`; contract-lock.txt:1114-1115 flipper in1/in2 edge=gate; contract-lock.txt:2222,2227-2228 moog961 s_in/v_out1/v_out2 edge=gate; TRIGGER_VOCAB/GATE_VOCAB live in packages/web/src/lib/docs/module-docs-lint.test.ts:108-116 (bare 'gate' still absent from GATE_VOCAB) and are enforced per-port at :296; module-docs.generated.ts is a gitignored build artifact (packages/web/.gitignore:16, Taskfile.yml:1086). Stale parts: open decision #3 (writeseq.gate) refers to a module deleted in PR #2183 (cef7c16c06, 2026-08-24, packages/web/src/lib/audio/modules/writeseq.ts removed, no writeseq rows in contract-lock.txt); the cited drummergirl.ts:212 'ON PURPOSE' generator marker no longer exists in drummergirl.ts.	Four of the five still open and unchanged in the tree: (1) drummergirl.gate — DSP still sustains on held gate for shapes with sustainOf>0 (packages/dsp/src/drummergirl.dsp:35,55,79); owner must choose keep-as-gate (shipped) vs force sustain=0 one-shot (behaviour change). (2) vfpgaRunner.g1..g4 — declared edge=gate (contract-lock.txt:3513-3516) while vfpga-runner.ts:36-37,174-176,371-374 publishes both held level and rising-edge count; PortDef.edge is still only 'trigger'|'gate' (module-specs.ts:36, contract-signature.ts:65, io-explain.ts:40) — needs a third semantic or per-spec override, or accept 'gate never lies'. (3) moog993 five passive jacks declared trigger (moog993.ts:9 'PASSIVE ROUTING — no DSP', :85-93 edge:'trigger') — accept least-wrong or re-declare. (4) marbles.clk 50%-duty square (marbles.ts:154) declared trigger (contract-lock.txt:1644) — cosmetic glyph/doc-sentence call. The writeseq decision is closed by the module's deletion (#2183).	The classification work shipped and is better represented by the tree (PR #1442 defs + contract-lock), but the record uniquely holds four still-unresolved owner decisions plus reusable trigger/gate lessons (edge-driven decision vs width-preserving signal path, GATE_VOCAB lint property, PortDef.edge cannot express per-loaded-program semantics, resolve prose via module-docs.generated.ts not source grep) that belong in the audio-runtime skill. Marked stale because the token count, the drummergirl.ts:212 citation, and the writeseq decision all disagree with origin/main.
.myrobots/2026-08-11-kill-dawless-and-default-the-shell.md	e19656cd02ba54c76effe9b6ef6f89ecd59a1d28fdc9c9716e1c80d9509d65f9	session-narrative	0	stale	runbook	evidence-active	n/a	Shipped: PR #1459 (merged 2026-08-11, merge commit f80796ca24) — db/schema/006_drop_rackspace_mode.sql exists; `git grep dawless|RackMode|normalizeRackMode` on origin/main hits only comments plus the deliberate legacy-key cleanup in packages/web/src/lib/storage/local-scratch.ts (`pt:local-scratch-id:dawless`); scripts/live-smoke-alert.sh:103 re-pointed from `mode-missing` to `racks-missing`. Superseded: the `?shell=legacy` escape hatch is gone — #2349 (622d121675, 2026-09-06) retired the legacy card UI, ModuleShell is the only surface (packages/web/src/lib/ui/workflow/module-shell-model.ts, no `shell=legacy` handling in src); 'prod deploys on version bump only' is superseded by .github/workflows/daily-prod-deploy.yml nightly cron `0 4 * * *` (runbooks/deployment.md:27-34); the 'never the ROWS' precedent 006 states was over-ruled by db/schema/007_drop_saved_groups.sql (owner 2026-09-04, runbooks/integrations/neon-postgres.md). NOT found in tree: any record that 006/007 were applied to the Neon `production` branch (PR #2349 body names no tier; daily-prod-deploy.yml has no schema-apply step; runbooks record no prod migration status).	Confirm whether db/schema/006 (and now the destructive 007) have been applied to the Neon `production` branch, and whether the one-off prod `DELETE FROM racks` reset is still wanted. The owner's stated deferral condition ('until all the faces are done and this is all more tested') is now met — all faces in STRICT_FACES, legacy retired (#2349), prod ships nightly — yet nothing in the tree records the prod schema state, and live-smoke-alert.sh cannot see an un-dropped column (it only watches the `racks` table).	The dawless kill itself shipped exactly as the record says, but its three framing claims (legacy escape hatch, version-bump-only prod, non-destructive-rows precedent) are all contradicted by the current tree, so the record is stale. Its one durable item — prod schema migrations are owner-run manual steps outside the deploy workflow, and 006's prod apply is unrecorded — belongs in runbooks/integrations/neon-postgres.md or deployment.md; the raw record stays evidence-active only until the owner confirms prod state, then archives.
.myrobots/2026-08-12-test-ci-framework-assessment.md	df62da7e3c63fc1a10d37a90006b3df1f1b27929938a69aba63df487fb1af8e3	session-narrative	0	stale	runbook	evidence-archive	n/a	Measured at main 030a03a7 (2026-08-12); the tree has moved past every headline number. P1 shipped same day (#1535, 2a75fdcf68 took VRT off the per-PR path) and was then superseded by #1778 (3d393c8e70, 2026-08-17) which deleted the whole informational tier — ci.yml header 'NINE NON-GATING JOBS DELETED': vrt, behavioral-coverage x6, merge-behavioral-reports, behavioral-watchdog, grand-attest, merge-reports, collab-attest; only ci-webgl-attest/ + scripts/webgl-attest-*.ts survive on origin/main (ci-collab-attest/, ci-grand-attest/, scripts/behavioral-watchdog.mjs absent) = P4/P9. P3 shipped in #1609 (collab-nightly.yml:207 `if: failure() || cancelled()`). P8 shipped in #2150 (189493cd3a): ci.yml 'NO PATH FILTER, DELIBERATELY (2026-08-23)', docs-only-gate.yml + scripts/docs-only-gate.mjs gone. P10 shipped in #1597 (e2e/playwright.config.ts:27 derives the per-worktree port). PR #1486 (ratchets) MERGED 2026-08-12 (46fb40f6); P11's worst survivor EXPECTED_NODE_TYPES and the card-range-source/card-control-ranges/card-def-agreement cluster were deleted with the legacy cards in #2349 (622d121675); vrt-cable-stripe.test.ts gone; docs/testing/test-ledger.generated.md deleted in #1859; scripts/ci-umbrella-parity.test.ts (#1505) enforces the needs/env/if identity. Unit lane is ~90 s and e2e is 12 shards (ci.yml job table, #2217), so P6 is moot. The 'CLAUDE.md 853 -> ~250' proposal was overtaken by #2222: CLAUDE.md is 7 lines, AGENTS.md 122, four skills. The record's generalisable rule already lives in runbooks/ci.md 'The informational tier was CLOSED on 2026-08-17' and in ci.yml's umbrella comments. NOT shipped: P2 (chaos-24-7.yml still `disabled_manually` on GitHub with e2e/chaos/ 11 files + Taskfile.yml:1376 chaos:run; e2e-flake-purge.yml, behavioral-flake-purge.yml, flake-check-3x.yml still in tree and listed as live in runbooks/ci.md:15-18), P7 (no .github/actions/), P12 (vrt-meta/vrt-live-surfaces/vrt-config-budget/vrt-font-pinning still build separate rosters), P13 (worklet-guard, mutate.guard, midi-input-ownership, mono-normal-not-defeated, trigger-edge-placement unfactored), the audio/video cv-scale-registry.test.ts duplicate pair, and the zero-slack ceiling `EVERY_PORT_SUBSCRIBERS = 2` at packages/web/src/lib/midi/midi-input-ownership.test.ts:272/327-328.	Whether the unshipped proposals (P2 delete the dead flake apparatus incl. chaos-24-7 disabled since 2026-05-26, P7 composite setup action, P12 single VRT roster, P13 one deny-by-default grep helper, the surviving EVERY_PORT_SUBSCRIBERS ceiling and the cv-scale-registry duplicate) are still wanted under the owner's 2026-08-23 'no fundamental CI changes' ruling, or are formally dropped; and whether runbooks/ci.md should carry the one lesson it still lacks — a timeout-kill concludes `cancelled`, so alert/watchdog `if:` conditions must use `failure() || cancelled()` (today only encoded in collab-nightly.yml comments).	A one-day measured audit whose actionable half (P1/P3/P4/P8/P9/P10, the #1486 ratchet intersection) shipped within eleven days and whose survey numbers, job costs and 'five rosters, five blind spots' analysis are unique proof of the 2026-08 CI state — worth archiving, not instruction. Every figure and the CLAUDE.md/legacy-card/attest-trio framing is superseded by the tree, so the raw file is stale; the only durable extract is a short alert-condition note for runbooks/ci.md, which already holds the informational-tier rule.
.myrobots/2026-08-18-face-plan.md	3f5e1a248132cf88cc39939e2c2244089c79047d75d7226a07b5c0252114296d	session-narrative	0	stale	skill:renderer-tests	evidence-archive	n/a	Added by #2183 (cef7c16c06, 2026-08-24) and never touched since. All 25 modules it lists as 'remaining unspec'd bespoke' — plus clipplayer (owner's 'card stays, no face' option) and skifree — are inside the STRICT_FACES Set on origin/main (packages/web/src/lib/ui/workflow/strict-faces.ts:759-6847; e.g. archivist:6620, peertube:5885, tvLibrarian:5302, videobox:5814, videovarispeed:6022, recorderbox:6212, mappy:5940, controlSurface:5714, vstFx:5081, vstInstrument:5082, launchpadControlLeft:4550, clipplayer:6749, skifree:5554), with VRT baselines under e2e/vrt/__screenshots__/workflow-shell-faces.spec.ts/face-*.png. Cohort A shipped as #2303 videobox, #2305 peertube, #2306 videovarispeed, #2314 recorderbox, #2320 archivist. Its wave-6 derivation became .myrobots/2026-08-24-bespoke-wave6/ (#2188, bf3d34f3ab), whose README §0 disproves the record's premise ('needs-media-controller IS A LIFECYCLE TAX, NOT A FACE BLOCKER'); HeadlessSourceHost no longer exists on origin/main. 'ALL THREE gates a face PR satisfies' is superseded by the SIX gates in .myrobots/face-specs/INDEX.html:137 (#2262). SKIFREE lifetime bug fixed by #2192 (868ddb9ee2) — skifree.ts:189 'THE FACTORY OWNS EVERY FIELD', e2e/tests/skifree-node-lifetime.spec.ts, SkifreeCard.svelte gone — then faced in #2283; VRT scene reasoned at e2e/vrt/_shell-faces.ts:6236. Legacy shell removed by #2349 (622d121675), so '?shell=legacy' blindness no longer exists (3 remaining e2e mentions are historical comments). Kria section is the only current part: seedKriaGate/buildKriaData/buildKriaMidiData/seedKriaWith at e2e/tests/_helpers.ts:1055-1127, #229 lateStepsDropped/pastDueEmits at kria.ts:322-604, populateAllSequencerSteps at per-module-per-port-behavioral.spec.ts:3904.	none — the skifree determinism-hook/VRT fork question is settled in-tree by the reasoned _shell-faces.ts:6236 entry, and the clipplayer 'no face' choice was superseded by its STRICT_FACES entry after #2349.	A three-part fleet log from the seq-deletion PR whose face-plan and skifree sections are entirely superseded by the tree (every listed module promoted, wave-6 premise disproven, gates count outgrown, bug fixed, legacy gone), so the record is stale and CODE WINS. Its one durable, unhomed lesson is the half-conversion trap — a bulk rename onto a replacement with a different param/port/seeding contract leaves a subject that silently vanishes and a spec that passes vacuously, and the deleted module's code, not its consumers' prose, is the conversion truth — which fits the renderer-tests 'dead-selector subjects' route (neither SKILL.md nor silent-failures.md carries it); the raw file is worth archiving as the proof record behind #2192 and the origin of wave 6.
.myrobots/2026-08-18-flake-park-coverage-lost.md	ba8bbcf40f01f8bfdb2c46db79fe4ba93e7b6b6a2b61af8c57c11c679bd3d752	session-narrative	2	stale	skill:renderer-tests	evidence-archive	n/a	Park created by #1850 (d5378b891c) and still LIVE: #1847 OPEN; 57 spec files on origin/main carry `FLAKE-PARK #1847` fixme annotations (card-drop-patch x8, extras-producer-lifetime toybox, voice-pitch-accuracy tidyVco, illogic-face, quadralogical-face-screen x2, 13-module FLAKE_PARK_1847 map in per-module-per-port-behavioral.spec.ts); `scripts/e2e-skip-budget.mjs` FLAKE PARK section cites this record by path at line ~600. Superseded parts (code wins): (1) central finding 'recovered flakes ride inside green jobs' — `--fail-on-flaky` is now ARMED (#1903) on e2e/collab/webgl/behavioral-smoke lanes (ci.yml 1385/1427/1696/1887/2165); (2) analogVco + lfo un-parked, required subset runs six again (#2229; note in packages/web/src/lib/dev/behavioral-smoke-subset.test.ts and FLAKE_PARK_1847 header); (3) charlottesEchos un-parked (#2356, stereo-mono-normal.spec.ts:238); (4) backdraft-preview-toggle tab-switch leg un-parked (#2345; only the collapse leg remains fixme); (5) moog904a addendum retired by #2352: `cls: 'mono-fanout'` in packages/web/src/lib/audio/dual-mono.ts:226, EXEMPT_OUTPUT_EMIT entry gone, art/scenarios/stereo-dual-mono/dual-mono-signal.test.ts pins the 25-spawn measurement with negative control; (6) wavetable-vco cv-path ENABLER runs (no skip); (7) `modules.spec.ts`/QUARANTINE map no longer exists (per-module.spec.ts); (8) videoout-detach-display.spec.ts landed rewritten with no park (census row 3 moot); (9) 'asserted for BOTH shells' / legacy-card VuMeter prose stale since #2349 retired the legacy card UI.	The fleet timeout default ('option-B') for the *-face-screen frames-sample class: quadralogical-face-screen (both legs) and acidwarp-face-screen remain `test.fixme` 'pending the owner option-B call' (a boot plus a multi-hundred-frame rAF sample against the flat boot-sized SLOW_BOOT_TEST_TIMEOUT_MS). #1847 itself stays open until the remaining ~57 parked specs are root-caused.	A point-in-time census/proof artifact for the #1847 park whose live ledger is the tree (fixme annotations + e2e-skip-budget.mjs), with several sections already superseded by un-parks, the armed fail-on-flaky gate, and legacy-UI removal — archive it, and repoint the e2e-skip-budget.mjs path citation on the move. Its reusable testing judgment (park preserves the assertion byte-identical and exits only by root cause; never re-point a driver into a vacuous green; a selection guard is blind to execution; frame-count samples against a flat boot-sized bound are under-budgeting, not flakiness; a temporal positive control decides whether a declared fix held) belongs in renderer-tests silent-failures.md; the moog904a dual-mono/analyser-downmix mechanics are already durable in dual-mono.ts and the ART scenario, so audio-runtime needs only a pointer.
